idRule,V,L,U,Side
0,PT08_S4_NO2,1024,1602,X
0,PT08_S2_NMHC,1024,1244,Y
1,NOx_GT,512,924,X
1,PT08_S1_CO,1024,1040,Y
2,PT08_S4_NO2,1024,1602,X
2,PT08_S1_CO,0,16,Y
3,NO2_GT,256,282,X
3,NMHC_GT,0,172,Y
4,NO2_GT,0,26,X
4,PT08_S2_NMHC,0,220,Y
4,PT08_S3_NOx,0,196,Y
5,NO2_GT,256,282,X
5,NOx_GT,0,412,Y
6,PT08_S4_NO2,1024,1602,X
6,PT08_S3_NOx,0,196,Y
7,PT08_S4_NO2,0,578,X
7,NO2_GT,256,282,Y
8,NO2_GT,0,26,X
8,PT08_S4_NO2,1024,1602,X
8,C6H6_GT,256,406,Y
9,NO2_GT,256,282,X
9,PT08_S2_NMHC,1024,1244,Y
10,NO2_GT,256,282,X
10,NOx_GT,512,924,Y
11,PT08_S1_CO,1024,1040,X
11,PT08_S3_NOx,1024,1220,Y
11,PT08_S4_NO2,0,578,Y
12,NO2_GT,0,26,X
12,PT08_S4_NO2,1024,1602,X
12,NMHC_GT,256,428,Y
13,PT08_S3_NOx,1024,1220,X
13,PT08_S4_NO2,1024,1602,X
13,NMHC_GT,0,172,Y
14,C6H6_GT,0,150,X
14,PT08_S2_NMHC,0,220,Y
15,NO2_GT,0,26,X
15,PT08_S1_CO,1024,1040,Y
16,PT08_S4_NO2,0,578,X
16,PT08_S1_CO,1024,1040,Y
17,CO_GT,0,31,X
17,NO2_GT,256,282,X
17,PT08_S3_NOx,0,196,Y
18,NOx_GT,512,924,X
18,PT08_S4_NO2,0,578,Y
19,PT08_S2_NMHC,0,220,X
19,PT08_S1_CO,1024,1040,Y
20,CO_GT,64,95,X
20,NOx_GT,512,924,X
20,NMHC_GT,0,172,Y
21,NMHC_GT,256,428,X
21,PT08_S3_NOx,1024,1220,Y
21,NO2_GT,256,282,Y
22,CO_GT,64,95,X
22,NO2_GT,256,282,X
22,PT08_S1_CO,1024,1040,Y
23,C6H6_GT,0,150,X
23,PT08_S4_NO2,0,578,X
23,PT08_S2_NMHC,0,220,Y
24,PT08_S4_NO2,1024,1602,X
24,NOx_GT,0,412,Y
25,CO_GT,0,31,X
25,PT08_S4_NO2,1024,1602,X
25,NOx_GT,512,924,Y
26,NMHC_GT,256,428,X
26,PT08_S1_CO,1024,1040,Y
27,NO2_GT,0,26,X
27,PT08_S4_NO2,1024,1602,X
27,NMHC_GT,0,172,Y
28,NMHC_GT,256,428,X
28,CO_GT,0,31,Y
28,C6H6_GT,0,150,Y
28,PT08_S2_NMHC,0,220,Y
28,NOx_GT,512,924,Y
29,NMHC_GT,0,172,X
29,PT08_S2_NMHC,0,220,Y
29,PT08_S3_NOx,0,196,Y
30,NO2_GT,256,282,X
30,PT08_S4_NO2,1024,1602,X
30,CO_GT,0,31,Y
30,PT08_S3_NOx,0,708,Y
31,C6H6_GT,0,150,X
31,PT08_S4_NO2,1024,1602,X
31,PT08_S3_NOx,0,196,Y
32,C6H6_GT,0,150,X
32,PT08_S3_NOx,1024,1220,X
32,PT08_S4_NO2,0,578,X
32,PT08_S2_NMHC,0,220,Y
33,NMHC_GT,0,172,X
33,C6H6_GT,0,150,X
33,PT08_S4_NO2,0,578,X
33,PT08_S2_NMHC,0,220,Y
34,NMHC_GT,0,172,X
34,NOx_GT,512,924,X
34,PT08_S4_NO2,1024,1602,Y
35,CO_GT,0,31,X
35,PT08_S1_CO,0,16,X
35,NMHC_GT,256,428,X
35,PT08_S3_NOx,1024,1220,Y
