idRule,V,L,U,Side
0,PT08_S1_CO,0,16,X
0,NO2_GT,0,26,Y
1,PT08_S4_NO2,1024,1602,X
1,PT08_S1_CO,0,16,Y
2,PT08_S4_NO2,1024,1602,X
2,PT08_S2_NMHC,1024,1244,Y
3,PT08_S1_CO,0,16,X
3,PT08_S2_NMHC,0,220,Y
4,CO_GT,0,31,X
4,PT08_S1_CO,0,16,X
4,NOx_GT,0,412,X
4,NMHC_GT,0,172,Y
5,PT08_S1_CO,0,16,X
5,NOx_GT,0,412,X
5,C6H6_GT,0,150,Y
6,PT08_S1_CO,0,528,X
6,PT08_S2_NMHC,0,220,Y
7,PT08_S3_NOx,1220,1220,X
7,PT08_S1_CO,0,132,Y
7,NOx_GT,0,473,Y
8,C6H6_GT,0,150,X
8,CO_GT,0,31,Y
9,PT08_S1_CO,0,16,X
9,NOx_GT,0,156,X
9,C6H6_GT,0,214,Y
10,PT08_S4_NO2,1024,1602,X
10,PT08_S1_CO,0,528,Y
11,PT08_S4_NO2,1536,1602,X
11,PT08_S1_CO,0,272,Y
12,PT08_S4_NO2,1280,1602,X
12,PT08_S1_CO,0,48,Y
13,CO_GT,0,31,X
13,PT08_S1_CO,0,272,X
13,NOx_GT,0,412,X
13,NMHC_GT,0,172,Y
14,PT08_S4_NO2,1024,1602,X
14,PT08_S1_CO,0,784,Y
15,PT08_S4_NO2,1152,1602,X
15,PT08_S1_CO,0,272,Y
16,PT08_S4_NO2,1536,1602,X
16,PT08_S1_CO,0,512,Y
17,PT08_S4_NO2,1152,1602,X
17,PT08_S1_CO,0,624,Y
18,NMHC_GT,384,428,X
18,NOx_GT,0,412,Y
19,CO_GT,64,95,X
19,PT08_S1_CO,0,528,X
19,PT08_S2_NMHC,0,220,Y
20,PT08_S4_NO2,1024,1602,X
20,PT08_S1_CO,0,912,Y
21,PT08_S1_CO,0,528,X
21,PT08_S2_NMHC,0,732,Y
21,NO2_GT,0,26,Y
22,PT08_S1_CO,0,16,X
22,NO2_GT,0,154,Y
23,PT08_S2_NMHC,0,220,X
23,CO_GT,0,31,Y
23,NOx_GT,512,924,Y
24,PT08_S4_NO2,1104,1602,X
24,PT08_S1_CO,0,20,Y
24,PT08_S3_NOx,0,964,Y
25,CO_GT,0,63,X
25,PT08_S1_CO,0,16,X
25,NOx_GT,0,412,X
25,NMHC_GT,0,140,Y
26,PT08_S4_NO2,1152,1602,X
26,PT08_S1_CO,0,784,Y
27,PT08_S1_CO,0,272,X
27,PT08_S2_NMHC,0,476,Y
27,NO2_GT,0,154,Y
28,CO_GT,0,63,X
28,PT08_S1_CO,0,272,X
28,NOx_GT,0,412,X
28,NMHC_GT,0,172,Y
29,PT08_S1_CO,0,80,X
29,NO2_GT,0,154,Y
30,NMHC_GT,256,428,X
30,NOx_GT,0,412,Y
31,C6H6_GT,0,22,X
31,PT08_S4_NO2,1024,1602,X
31,CO_GT,64,95,Y
32,CO_GT,64,95,X
32,PT08_S1_CO,0,528,X
32,PT08_S2_NMHC,0,988,Y
32,NO2_GT,0,26,Y
33,PT08_S4_NO2,1280,1602,X
33,PT08_S1_CO,0,656,Y
34,NMHC_GT,256,428,X
34,NO2_GT,256,282,Y
35,PT08_S4_NO2,1064,1602,X
35,PT08_S1_CO,0,816,Y
35,NOx_GT,0,156,Y
36,PT08_S1_CO,0,202,X
36,PT08_S2_NMHC,0,220,Y
36,NO2_GT,0,154,Y
37,NO2_GT,0,152,X
37,PT08_S1_CO,0,272,Y
37,NOx_GT,0,100,Y
38,PT08_S4_NO2,1280,1602,X
38,PT08_S1_CO,0,720,Y
39,PT08_S1_CO,0,272,X
39,PT08_S2_NMHC,0,476,Y
39,NO2_GT,0,186,Y
40,PT08_S1_CO,0,528,X
40,PT08_S2_NMHC,0,732,Y
41,PT08_S1_CO,0,82,X
41,CO_GT,0,47,Y
41,NO2_GT,0,154,Y
42,CO_GT,0,31,X
42,PT08_S1_CO,0,272,X
42,NOx_GT,0,156,X
42,C6H6_GT,0,150,Y
43,PT08_S1_CO,0,16,X
43,NMHC_GT,256,428,Y
44,CO_GT,0,31,X
44,PT08_S1_CO,0,528,X
44,NOx_GT,0,412,X
44,NMHC_GT,0,172,Y
45,PT08_S3_NOx,0,708,X
45,PT08_S1_CO,1024,1040,Y
45,NOx_GT,0,384,Y
46,NO2_GT,0,26,X
46,PT08_S1_CO,0,528,Y
46,NOx_GT,0,412,Y
47,NMHC_GT,256,428,X
47,NOx_GT,0,476,Y
48,PT08_S1_CO,0,784,X
48,PT08_S2_NMHC,0,732,Y
48,NO2_GT,0,26,Y
49,PT08_S3_NOx,1152,1220,X
49,CO_GT,0,63,Y
49,NMHC_GT,0,76,Y
49,C6H6_GT,256,406,Y
50,PT08_S4_NO2,0,578,X
50,NMHC_GT,0,172,Y
51,PT08_S1_CO,0,272,X
51,NO2_GT,0,26,Y
52,PT08_S1_CO,0,16,X
52,NO2_GT,0,218,Y
53,CO_GT,0,31,X
53,PT08_S1_CO,0,144,X
53,NOx_GT,0,344,X
53,C6H6_GT,0,150,Y
54,PT08_S1_CO,0,528,X
54,C6H6_GT,0,22,X
54,NOx_GT,0,412,X
54,NO2_GT,0,218,Y
55,PT08_S1_CO,0,48,X
55,NOx_GT,0,156,X
55,C6H6_GT,0,34,Y
56,PT08_S1_CO,0,16,X
56,NMHC_GT,0,172,X
56,CO_GT,0,31,Y
57,CO_GT,0,63,X
57,PT08_S1_CO,0,144,X
57,NOx_GT,0,220,X
57,PT08_S2_NMHC,0,220,Y
58,PT08_S4_NO2,1120,1602,X
58,PT08_S1_CO,0,848,Y
58,NOx_GT,0,412,Y
59,PT08_S1_CO,0,144,X
59,NOx_GT,0,412,X
59,C6H6_GT,0,78,Y
60,PT08_S4_NO2,1568,1602,X
60,PT08_S1_CO,0,784,Y
61,NO2_GT,0,218,X
61,PT08_S1_CO,0,48,Y
61,NOx_GT,0,396,Y
62,CO_GT,0,31,X
62,PT08_S1_CO,0,528,X
62,NOx_GT,0,412,X
62,C6H6_GT,0,150,Y
63,PT08_S1_CO,0,132,X
63,NO2_GT,272,282,X
63,NOx_GT,664,924,Y
64,PT08_S4_NO2,1152,1602,X
64,PT08_S1_CO,0,848,Y
64,NOx_GT,0,412,Y
65,PT08_S3_NOx,1099,1220,X
65,PT08_S4_NO2,1400,1602,X
65,PT08_S1_CO,0,752,Y
66,PT08_S1_CO,0,148,X
66,NOx_GT,0,68,X
66,C6H6_GT,0,214,Y
67,C6H6_GT,0,150,X
67,PT08_S4_NO2,1024,1602,X
67,CO_GT,64,95,Y
68,PT08_S1_CO,0,16,X
68,NOx_GT,0,476,X
68,C6H6_GT,0,150,Y
69,NMHC_GT,0,172,X
69,NOx_GT,0,412,Y
69,NO2_GT,0,26,Y
