idRule,V,L,U,Side
0,NOx_GT,575,853,X
0,PT08_S3_NOx,1064,1080,X
0,PT08_S4_NO2,1554,1570,X
0,CO_GT,53,63,Y
0,PT08_S1_CO,1025,1026,Y
0,NMHC_GT,57,123,Y
0,C6H6_GT,36,215,Y
0,PT08_S2_NMHC,1100,1169,Y
0,NO2_GT,258,282,Y
1,CO_GT,41,62,X
1,C6H6_GT,332,356,X
1,NOx_GT,684,693,X
1,PT08_S3_NOx,1217,1217,X
1,NO2_GT,73,208,X
1,PT08_S4_NO2,1047,1073,X
1,PT08_S1_CO,49,345,Y
1,NMHC_GT,23,45,Y
1,PT08_S2_NMHC,1101,1145,Y
2,CO_GT,42,64,X
2,PT08_S1_CO,34,679,X
2,PT08_S2_NMHC,1092,1127,X
2,NOx_GT,731,897,X
2,PT08_S4_NO2,1348,1601,X
2,NMHC_GT,100,113,Y
2,C6H6_GT,404,404,Y
2,PT08_S3_NOx,1077,1085,Y
2,NO2_GT,15,117,Y
3,CO_GT,3,3,X
3,NMHC_GT,120,142,X
3,C6H6_GT,81,81,X
3,PT08_S2_NMHC,516,1141,X
3,PT08_S1_CO,1037,1039,Y
3,NOx_GT,668,702,Y
3,PT08_S3_NOx,683,766,Y
3,NO2_GT,2,41,Y
3,PT08_S4_NO2,182,185,Y
4,CO_GT,86,86,X
4,NMHC_GT,6,89,X
4,C6H6_GT,31,155,X
4,PT08_S3_NOx,1055,1093,X
4,NO2_GT,219,265,X
4,PT08_S4_NO2,1598,1602,X
4,PT08_S1_CO,1030,1030,Y
4,PT08_S2_NMHC,1085,1228,Y
4,NOx_GT,879,923,Y
5,CO_GT,36,57,X
5,PT08_S1_CO,1040,1040,X
5,C6H6_GT,34,189,X
5,PT08_S4_NO2,1045,1179,X
5,NMHC_GT,271,298,Y
5,PT08_S2_NMHC,517,1138,Y
5,NOx_GT,270,362,Y
5,PT08_S3_NOx,881,881,Y
5,NO2_GT,209,215,Y
6,CO_GT,16,22,X
6,NO2_GT,262,262,X
6,PT08_S4_NO2,1162,1384,X
6,PT08_S1_CO,45,285,Y
6,NMHC_GT,230,230,Y
6,C6H6_GT,367,370,Y
6,PT08_S2_NMHC,776,979,Y
6,NOx_GT,904,905,Y
6,PT08_S3_NOx,1178,1180,Y
7,PT08_S1_CO,252,1039,X
7,NMHC_GT,307,426,X
7,C6H6_GT,278,406,X
7,NOx_GT,299,924,X
7,PT08_S3_NOx,1216,1216,X
7,CO_GT,54,55,Y
7,PT08_S2_NMHC,1220,1228,Y
7,NO2_GT,98,98,Y
7,PT08_S4_NO2,676,935,Y
8,PT08_S2_NMHC,1219,1243,X
8,PT08_S3_NOx,1112,1199,X
8,PT08_S4_NO2,1602,1602,X
8,CO_GT,73,73,Y
8,PT08_S1_CO,1,758,Y
8,NMHC_GT,320,428,Y
8,C6H6_GT,86,106,Y
8,NOx_GT,243,247,Y
8,NO2_GT,1,21,Y
9,PT08_S1_CO,1024,1040,X
9,NMHC_GT,168,168,X
9,PT08_S2_NMHC,73,300,X
9,PT08_S3_NOx,926,954,X
9,NO2_GT,256,256,X
9,CO_GT,25,32,Y
9,C6H6_GT,394,395,Y
9,NOx_GT,370,463,Y
9,PT08_S4_NO2,27,60,Y
10,PT08_S1_CO,1040,1040,X
10,NMHC_GT,101,107,X
10,PT08_S3_NOx,509,796,X
10,NO2_GT,265,271,X
10,CO_GT,37,42,Y
10,C6H6_GT,369,373,Y
10,PT08_S2_NMHC,1233,1235,Y
10,NOx_GT,120,120,Y
10,PT08_S4_NO2,852,959,Y
11,CO_GT,86,86,X
11,NOx_GT,795,897,X
11,PT08_S3_NOx,331,1219,X
11,PT08_S4_NO2,1552,1602,X
11,PT08_S1_CO,1034,1040,Y
11,NMHC_GT,321,333,Y
11,C6H6_GT,387,394,Y
11,PT08_S2_NMHC,1185,1199,Y
11,NO2_GT,215,236,Y
12,PT08_S1_CO,1028,1040,X
12,C6H6_GT,88,88,X
12,PT08_S3_NOx,610,764,X
12,NO2_GT,75,92,X
12,CO_GT,7,30,Y
12,NMHC_GT,372,385,Y
12,PT08_S2_NMHC,961,1244,Y
12,NOx_GT,578,788,Y
12,PT08_S4_NO2,237,886,Y
13,CO_GT,57,60,X
13,C6H6_GT,105,107,X
13,PT08_S2_NMHC,759,801,X
13,NOx_GT,93,465,X
13,PT08_S3_NOx,974,1138,X
13,PT08_S4_NO2,1119,1119,X
13,PT08_S1_CO,449,667,Y
13,NMHC_GT,424,428,Y
13,NO2_GT,261,273,Y
14,PT08_S1_CO,498,875,X
14,PT08_S2_NMHC,1030,1052,X
14,PT08_S3_NOx,371,892,X
14,CO_GT,70,86,Y
14,NMHC_GT,420,423,Y
14,C6H6_GT,50,55,Y
14,NOx_GT,673,782,Y
14,NO2_GT,127,185,Y
14,PT08_S4_NO2,589,988,Y
15,CO_GT,56,60,X
15,C6H6_GT,68,72,X
15,PT08_S2_NMHC,422,429,X
15,PT08_S3_NOx,542,843,X
15,NO2_GT,274,279,X
15,PT08_S4_NO2,1333,1576,X
15,PT08_S1_CO,135,277,Y
15,NMHC_GT,59,86,Y
15,NOx_GT,690,690,Y
16,CO_GT,76,90,X
16,PT08_S1_CO,1039,1039,X
16,C6H6_GT,131,243,X
16,PT08_S3_NOx,286,414,X
16,NMHC_GT,200,403,Y
16,PT08_S2_NMHC,1079,1087,Y
16,NOx_GT,924,924,Y
16,NO2_GT,20,113,Y
16,PT08_S4_NO2,660,717,Y
17,CO_GT,23,24,X
17,NMHC_GT,148,158,X
17,PT08_S2_NMHC,671,819,X
17,NO2_GT,260,262,X
17,PT08_S4_NO2,1600,1600,X
17,PT08_S1_CO,97,537,Y
17,C6H6_GT,400,405,Y
17,NOx_GT,649,905,Y
17,PT08_S3_NOx,13,100,Y
18,NOx_GT,632,642,X
18,PT08_S4_NO2,823,860,X
18,CO_GT,64,69,Y
18,PT08_S1_CO,577,579,Y
18,NMHC_GT,116,121,Y
18,C6H6_GT,162,199,Y
18,PT08_S2_NMHC,1041,1047,Y
18,PT08_S3_NOx,1055,1220,Y
18,NO2_GT,72,73,Y
19,NMHC_GT,234,234,X
19,PT08_S2_NMHC,72,303,X
19,NOx_GT,261,264,X
19,PT08_S3_NOx,334,492,X
19,PT08_S4_NO2,234,287,X
19,CO_GT,50,56,Y
19,PT08_S1_CO,1040,1040,Y
19,C6H6_GT,355,384,Y
19,NO2_GT,245,245,Y
20,CO_GT,37,37,X
20,PT08_S1_CO,1040,1040,X
20,NMHC_GT,142,154,X
20,C6H6_GT,135,219,X
20,NOx_GT,282,411,X
20,PT08_S3_NOx,284,786,X
20,PT08_S2_NMHC,1187,1196,Y
