idRule,V,L,U,Side
0,PT08_S4_NO2,1536,1602,X
0,NOx_GT,0,412,Y
1,PT08_S4_NO2,1024,1602,X
1,NMHC_GT,0,172,Y
2,PT08_S4_NO2,1024,1602,X
2,PT08_S1_CO,0,528,Y
3,PT08_S4_NO2,1024,1602,X
3,PT08_S1_CO,0,784,Y
3,C6H6_GT,320,406,Y
4,C6H6_GT,256,406,X
4,PT08_S2_NMHC,0,220,X
4,PT08_S1_CO,0,272,Y
5,NOx_GT,512,924,X
5,PT08_S2_NMHC,0,476,Y
6,NMHC_GT,0,72,X
6,C6H6_GT,0,70,X
6,PT08_S2_NMHC,0,926,X
6,NOx_GT,896,924,X
6,CO_GT,0,9,Y
7,NOx_GT,768,924,X
7,PT08_S2_NMHC,0,668,Y
8,NMHC_GT,384,428,X
8,C6H6_GT,0,142,X
8,NOx_GT,512,924,Y
9,C6H6_GT,0,146,X
9,CO_GT,64,95,Y
10,PT08_S3_NOx,1024,1220,X
10,PT08_S2_NMHC,0,220,Y
11,NMHC_GT,256,428,X
11,C6H6_GT,0,150,X
11,PT08_S4_NO2,0,322,X
11,NOx_GT,256,924,Y
12,PT08_S2_NMHC,0,172,X
12,PT08_S4_NO2,1440,1602,X
12,NMHC_GT,384,428,Y
13,C6H6_GT,0,150,X
13,PT08_S3_NOx,0,196,Y
14,NMHC_GT,256,428,X
14,C6H6_GT,0,54,X
14,NOx_GT,512,924,Y
15,CO_GT,0,31,X
15,PT08_S4_NO2,0,578,Y
16,NMHC_GT,256,428,X
16,C6H6_GT,0,86,X
16,PT08_S4_NO2,0,354,X
16,NOx_GT,256,924,Y
17,CO_GT,0,47,X
17,NO2_GT,272,282,X
17,PT08_S4_NO2,0,834,Y
18,C6H6_GT,256,406,X
18,PT08_S2_NMHC,0,220,X
18,NO2_GT,0,26,Y
19,C6H6_GT,0,150,X
19,NOx_GT,0,412,Y
20,NMHC_GT,352,428,X
20,C6H6_GT,0,86,X
20,NOx_GT,512,924,Y
21,C6H6_GT,256,406,X
21,PT08_S2_NMHC,0,988,X
21,NO2_GT,0,218,Y
22,CO_GT,0,45,X
22,NOx_GT,512,924,X
22,PT08_S4_NO2,0,1218,Y
23,PT08_S2_NMHC,0,636,X
23,PT08_S4_NO2,1024,1602,X
23,NMHC_GT,368,428,Y
24,NO2_GT,256,282,X
24,PT08_S4_NO2,1472,1602,X
24,CO_GT,0,63,Y
25,NMHC_GT,320,428,X
25,C6H6_GT,0,150,X
25,PT08_S2_NMHC,0,220,X
25,PT08_S4_NO2,0,450,X
25,NOx_GT,448,924,Y
26,NOx_GT,0,412,X
26,PT08_S2_NMHC,0,220,Y
27,PT08_S4_NO2,1024,1602,X
27,PT08_S1_CO,0,784,Y
28,PT08_S2_NMHC,0,732,X
28,NO2_GT,0,154,X
28,PT08_S4_NO2,1024,1602,X
28,PT08_S3_NOx,0,196,Y
29,NMHC_GT,288,428,X
29,C6H6_GT,0,82,X
29,NOx_GT,768,924,Y
30,PT08_S2_NMHC,0,124,X
30,NO2_GT,0,74,X
30,PT08_S4_NO2,1536,1602,X
30,PT08_S3_NOx,0,964,Y
31,PT08_S2_NMHC,0,732,X
31,PT08_S4_NO2,1024,1602,X
31,NMHC_GT,256,428,Y
32,PT08_S4_NO2,1152,1602,X
32,PT08_S1_CO,0,896,Y
32,C6H6_GT,384,406,Y
33,NMHC_GT,256,428,X
33,C6H6_GT,0,182,X
33,PT08_S3_NOx,0,196,Y
34,PT08_S2_NMHC,0,988,X
34,PT08_S4_NO2,1024,1602,X
34,NMHC_GT,320,428,Y
35,NMHC_GT,0,172,X
35,C6H6_GT,0,22,X
35,PT08_S2_NMHC,0,732,X
35,NOx_GT,512,924,X
35,CO_GT,0,63,Y
36,C6H6_GT,0,214,X
36,PT08_S2_NMHC,0,220,X
36,PT08_S3_NOx,0,196,Y
37,CO_GT,0,31,X
37,NOx_GT,512,924,X
37,PT08_S4_NO2,0,1346,Y
38,C6H6_GT,0,22,X
38,PT08_S2_NMHC,0,732,X
38,NMHC_GT,256,428,Y
39,NMHC_GT,320,428,X
39,C6H6_GT,0,150,X
39,NOx_GT,512,924,Y
40,CO_GT,0,63,X
40,PT08_S4_NO2,0,578,Y
41,CO_GT,0,7,X
41,PT08_S4_NO2,0,706,Y
42,NMHC_GT,384,428,X
42,C6H6_GT,0,6,X
42,PT08_S4_NO2,0,578,X
42,PT08_S1_CO,0,272,Y
43,PT08_S4_NO2,1170,1602,X
43,PT08_S1_CO,0,816,Y
44,PT08_S4_NO2,1280,1602,X
44,PT08_S1_CO,0,848,Y
44,C6H6_GT,256,406,Y
45,PT08_S4_NO2,1088,1602,X
45,PT08_S1_CO,0,816,Y
45,C6H6_GT,264,406,Y
46,C6H6_GT,0,150,X
46,PT08_S4_NO2,512,1602,X
46,NO2_GT,0,26,Y
47,NMHC_GT,256,428,X
47,C6H6_GT,0,38,X
47,PT08_S4_NO2,0,66,X
47,PT08_S1_CO,0,16,Y
48,PT08_S4_NO2,1168,1602,X
48,PT08_S1_CO,0,848,Y
49,NMHC_GT,0,172,X
49,C6H6_GT,0,54,X
49,PT08_S2_NMHC,0,988,X
49,NOx_GT,512,924,X
49,CO_GT,0,57,Y
50,NOx_GT,256,924,X
50,PT08_S1_CO,0,16,Y
50,PT08_S2_NMHC,0,220,Y
50,PT08_S4_NO2,0,578,Y
51,C6H6_GT,0,214,X
51,NOx_GT,0,156,Y
52,PT08_S4_NO2,1024,1602,X
52,NOx_GT,0,412,Y
53,CO_GT,0,63,X
53,NMHC_GT,0,172,X
53,PT08_S4_NO2,0,834,Y
54,NMHC_GT,256,428,X
54,C6H6_GT,0,150,X
54,PT08_S4_NO2,0,578,X
54,NOx_GT,256,924,Y
55,CO_GT,0,47,X
55,PT08_S4_NO2,0,834,Y
56,PT08_S3_NOx,1024,1220,X
56,PT08_S2_NMHC,0,732,Y
57,PT08_S4_NO2,1478,1602,X
57,PT08_S1_CO,0,849,Y
58,NMHC_GT,312,428,X
58,C6H6_GT,0,148,X
58,NOx_GT,768,924,Y
59,NMHC_GT,300,428,X
59,C6H6_GT,0,246,X
59,NOx_GT,896,924,Y
60,NMHC_GT,0,172,X
60,NOx_GT,512,924,X
60,NO2_GT,128,282,X
60,C6H6_GT,320,406,Y
61,C6H6_GT,0,22,X
61,PT08_S2_NMHC,0,988,X
61,PT08_S4_NO2,0,578,Y
62,C6H6_GT,0,214,X
62,PT08_S2_NMHC,0,540,X
62,NOx_GT,0,220,X
62,NO2_GT,0,218,Y
63,CO_GT,0,31,X
63,PT08_S4_NO2,1024,1602,Y
64,CO_GT,0,63,X
64,NOx_GT,512,924,X
64,PT08_S4_NO2,0,1090,Y
65,CO_GT,0,52,X
65,NOx_GT,896,924,X
65,PT08_S4_NO2,0,1474,Y
66,PT08_S1_CO,0,943,X
66,PT08_S4_NO2,1313,1602,X
66,NO2_GT,272,282,Y
67,PT08_S4_NO2,1152,1602,X
67,PT08_S1_CO,0,848,Y
68,NMHC_GT,256,428,X
68,C6H6_GT,0,214,X
68,PT08_S3_NOx,0,196,Y
69,PT08_S2_NMHC,1024,1244,X
69,PT08_S4_NO2,0,578,Y
