,idRule_G,idRule_g,Rule_G,state_G,Rule_g,state_g
0,4,54,"NO2_GT[2.0-32.0] --> PT08_S2_NMHC[383.0-644.0], PT08_S3_NOx[322.0-553.0]",Not supported,"C6H6_GT[0.1-15.1], NO2_GT[2.0-32.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
1,14,54,C6H6_GT[0.1-15.1] --> PT08_S2_NMHC[383.0-644.0],Not confident,"C6H6_GT[0.1-15.1], NO2_GT[2.0-32.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
2,6,31,PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0],Not confident,"C6H6_GT[0.1-15.1], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
3,6,75,PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0],Not confident,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
4,36,75,"NOx_GT[2.0-416.0] --> PT08_S2_NMHC[383.0-644.0], PT08_S3_NOx[322.0-553.0], PT08_S4_NO2[551.0-1285.0]",Not supported,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
5,38,75,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[0.1-3.2], PT08_S3_NOx[322.0-553.0]",Not supported,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
6,58,75,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[6.5-11.9], PT08_S3_NOx[322.0-553.0]",Not supported,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
7,6,131,PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0],Not confident,"C6H6_GT[25.7-63.7], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
8,14,23,C6H6_GT[0.1-15.1] --> PT08_S2_NMHC[383.0-644.0],Not confident,"C6H6_GT[0.1-15.1], PT08_S4_NO2[551.0-1285.0] --> PT08_S2_NMHC[383.0-644.0]",Not confident
9,14,32,C6H6_GT[0.1-15.1] --> PT08_S2_NMHC[383.0-644.0],Not confident,"C6H6_GT[0.1-15.1], PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[551.0-1285.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
