idRule,Rule,state
0,PT08_S4_NO2[1731.0-2775.0] --> PT08_S2_NMHC[1451.0-2214.0],Not supported
1,NOx_GT[517.0-1479.0] --> PT08_S1_CO[1881.0-2040.0],Not supported
2,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported
3,NO2_GT[267.0-340.0] --> NMHC_GT[7.0-193.0],Not supported
4,"NO2_GT[2.0-32.0] --> PT08_S2_NMHC[383.0-644.0], PT08_S3_NOx[322.0-553.0]",Not supported
5,NO2_GT[267.0-340.0] --> NOx_GT[2.0-416.0],Not supported
6,PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0],Not confident
7,PT08_S4_NO2[551.0-1285.0] --> NO2_GT[267.0-340.0],Not supported
8,"NO2_GT[2.0-32.0], PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[25.7-63.7]",Not supported
9,NO2_GT[267.0-340.0] --> PT08_S2_NMHC[1451.0-2214.0],Not supported
10,NO2_GT[267.0-340.0] --> NOx_GT[517.0-1479.0],Not supported
11,"PT08_S1_CO[1881.0-2040.0] --> PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[551.0-1285.0]",Not supported
12,"NO2_GT[2.0-32.0], PT08_S4_NO2[1731.0-2775.0] --> NMHC_GT[306.0-1189.0]",Not supported
13,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> NMHC_GT[7.0-193.0]",Not supported
14,C6H6_GT[0.1-15.1] --> PT08_S2_NMHC[383.0-644.0],Not confident
15,NO2_GT[2.0-32.0] --> PT08_S1_CO[1881.0-2040.0],Not supported
16,PT08_S4_NO2[551.0-1285.0] --> PT08_S1_CO[1881.0-2040.0],Not supported
17,"CO_GT[0.1-3.2], NO2_GT[267.0-340.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
18,NOx_GT[517.0-1479.0] --> PT08_S4_NO2[551.0-1285.0],Not supported
19,PT08_S2_NMHC[383.0-644.0] --> PT08_S1_CO[1881.0-2040.0],Not supported
20,"CO_GT[6.5-11.9], NOx_GT[517.0-1479.0] --> NMHC_GT[7.0-193.0]",Not supported
21,"NMHC_GT[306.0-1189.0] --> PT08_S3_NOx[1420.0-2683.0], NO2_GT[267.0-340.0]",Not supported
22,"CO_GT[6.5-11.9], NO2_GT[267.0-340.0] --> PT08_S1_CO[1881.0-2040.0]",Not supported
23,"C6H6_GT[0.1-15.1], PT08_S4_NO2[551.0-1285.0] --> PT08_S2_NMHC[383.0-644.0]",Not confident
24,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident
25,"CO_GT[0.1-3.2], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[517.0-1479.0]",Not supported
26,NMHC_GT[306.0-1189.0] --> PT08_S1_CO[1881.0-2040.0],Not supported
27,"NO2_GT[2.0-32.0], PT08_S4_NO2[1731.0-2775.0] --> NMHC_GT[7.0-193.0]",Not supported
28,"NMHC_GT[306.0-1189.0] --> CO_GT[0.1-3.2], C6H6_GT[0.1-15.1], PT08_S2_NMHC[383.0-644.0], NOx_GT[517.0-1479.0]",Not supported
29,"NMHC_GT[7.0-193.0] --> PT08_S2_NMHC[383.0-644.0], PT08_S3_NOx[322.0-553.0]",Not supported
30,"NO2_GT[267.0-340.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[0.1-3.2], PT08_S3_NOx[322.0-1065.0]",Not supported
31,"C6H6_GT[0.1-15.1], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
32,"C6H6_GT[0.1-15.1], PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[551.0-1285.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
33,"NMHC_GT[7.0-193.0], C6H6_GT[0.1-15.1], PT08_S4_NO2[551.0-1285.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
34,"NMHC_GT[7.0-193.0], NOx_GT[517.0-1479.0] --> PT08_S4_NO2[1731.0-2775.0]",Not supported
35,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-698.0], NMHC_GT[306.0-1189.0] --> PT08_S3_NOx[1420.0-2683.0]",Not supported
36,"NOx_GT[2.0-416.0] --> PT08_S2_NMHC[383.0-644.0], PT08_S3_NOx[322.0-553.0], PT08_S4_NO2[551.0-1285.0]",Not supported
37,PT08_S3_NOx[322.0-553.0] --> NMHC_GT[306.0-1189.0],Not supported
38,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[0.1-3.2], PT08_S3_NOx[322.0-553.0]",Not supported
39,"C6H6_GT[0.1-15.1], PT08_S3_NOx[322.0-553.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
40,C6H6_GT[0.1-15.1] --> NO2_GT[267.0-340.0],Not supported
41,C6H6_GT[25.7-63.7] --> PT08_S4_NO2[551.0-1285.0],Not supported
42,"NMHC_GT[306.0-1189.0], PT08_S4_NO2[551.0-1285.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
43,"NOx_GT[2.0-416.0], NO2_GT[2.0-32.0] --> CO_GT[0.1-3.2]",Not supported
44,NMHC_GT[7.0-193.0] --> PT08_S1_CO[1881.0-2040.0],Not supported
45,"C6H6_GT[0.1-15.1], PT08_S3_NOx[1420.0-2683.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
46,CO_GT[0.1-3.2] --> NO2_GT[267.0-340.0],Not supported
47,"NMHC_GT[306.0-1189.0], NOx_GT[2.0-416.0] --> PT08_S3_NOx[1420.0-2683.0]",Not supported
48,PT08_S1_CO[647.0-698.0] --> NMHC_GT[306.0-1189.0],Not supported
49,"NO2_GT[2.0-32.0], PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[0.1-15.1]",Not supported
50,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> NO2_GT[267.0-340.0]",Not supported
51,"CO_GT[0.1-3.2], C6H6_GT[0.1-15.1] --> PT08_S2_NMHC[383.0-644.0]",Not confident
52,"NO2_GT[2.0-32.0] --> CO_GT[0.1-3.2], NMHC_GT[306.0-1189.0]",Not supported
53,"PT08_S1_CO[647.0-698.0] --> PT08_S2_NMHC[383.0-644.0], PT08_S3_NOx[322.0-553.0]",Not supported
54,"C6H6_GT[0.1-15.1], NO2_GT[2.0-32.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
55,"CO_GT[0.1-3.2], PT08_S4_NO2[1731.0-2775.0] --> NO2_GT[2.0-32.0]",Not supported
56,"NOx_GT[2.0-416.0] --> NMHC_GT[306.0-1189.0], C6H6_GT[0.1-15.1]",Not supported
57,"PT08_S1_CO[1881.0-2040.0] --> PT08_S3_NOx[1420.0-2683.0], NO2_GT[267.0-340.0]",Not supported
58,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[6.5-11.9], PT08_S3_NOx[322.0-553.0]",Not supported
59,"NMHC_GT[7.0-193.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S3_NOx[322.0-553.0]",Not supported
60,NOx_GT[517.0-1479.0] --> NMHC_GT[306.0-1189.0],Not supported
61,PT08_S2_NMHC[383.0-644.0] --> NO2_GT[2.0-32.0],Not supported
62,"NOx_GT[2.0-416.0] --> PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[551.0-1285.0]",Not supported
63,"CO_GT[6.5-11.9], PT08_S1_CO[647.0-698.0], NO2_GT[267.0-340.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
64,"PT08_S3_NOx[322.0-553.0], PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[25.7-63.7], NOx_GT[2.0-416.0]",Not supported
65,PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[0.1-15.1],Not confident
66,"C6H6_GT[0.1-15.1] --> NMHC_GT[306.0-1189.0], NO2_GT[2.0-32.0]",Not supported
67,"PT08_S2_NMHC[1451.0-2214.0] --> NMHC_GT[7.0-193.0], NO2_GT[2.0-32.0]",Not supported
68,CO_GT[6.5-11.9] --> NO2_GT[267.0-340.0],Not supported
69,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[6.5-11.9], PT08_S3_NOx[322.0-553.0]",Not supported
70,"C6H6_GT[0.1-15.1], PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[517.0-1479.0]",Not supported
71,"CO_GT[6.5-11.9], NOx_GT[517.0-1479.0] --> NO2_GT[2.0-32.0]",Not supported
72,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[25.7-63.7]",Not supported
73,PT08_S3_NOx[322.0-553.0] --> CO_GT[0.1-3.2],Not supported
74,NOx_GT[2.0-416.0] --> NO2_GT[2.0-32.0],Not supported
75,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
76,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> NMHC_GT[306.0-1189.0]",Not supported
77,CO_GT[6.5-11.9] --> PT08_S4_NO2[551.0-1285.0],Not supported
78,"PT08_S2_NMHC[383.0-644.0] --> PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[551.0-1285.0]",Not supported
79,NOx_GT[517.0-1479.0] --> C6H6_GT[25.7-63.7],Not supported
80,"PT08_S1_CO[1881.0-2040.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[6.5-11.9], C6H6_GT[25.7-63.7], PT08_S3_NOx[322.0-553.0]",Not supported
81,"CO_GT[6.5-11.9], NOx_GT[517.0-1479.0] --> C6H6_GT[0.1-15.1]",Not supported
82,"PT08_S3_NOx[322.0-553.0], PT08_S4_NO2[551.0-1285.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
83,"PT08_S2_NMHC[1451.0-2214.0] --> CO_GT[0.1-3.2], NMHC_GT[306.0-1189.0]",Not supported
84,"PT08_S4_NO2[1731.0-2775.0] --> CO_GT[6.5-11.9], PT08_S1_CO[647.0-1223.0], NMHC_GT[306.0-1189.0]",Not supported
85,PT08_S3_NOx[322.0-553.0] --> PT08_S4_NO2[551.0-1285.0],Not supported
86,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0], NO2_GT[2.0-32.0]",Not supported
87,PT08_S1_CO[647.0-698.0] --> PT08_S2_NMHC[383.0-644.0],Not supported
88,"NMHC_GT[7.0-193.0], NOx_GT[517.0-1479.0] --> CO_GT[0.1-3.2]",Not supported
89,"CO_GT[0.1-3.2], PT08_S4_NO2[1731.0-2775.0] --> NMHC_GT[306.0-1189.0]",Not supported
90,"NMHC_GT[306.0-1189.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
91,NOx_GT[517.0-1479.0] --> PT08_S2_NMHC[1451.0-2214.0],Not supported
92,"NO2_GT[2.0-32.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[1420.0-2683.0]",Not supported
93,"NO2_GT[2.0-32.0] --> NMHC_GT[306.0-1189.0], PT08_S3_NOx[1420.0-2683.0]",Not supported
94,"PT08_S2_NMHC[1451.0-2214.0] --> PT08_S1_CO[647.0-698.0], NMHC_GT[7.0-193.0]",Not supported
95,"C6H6_GT[25.7-63.7] --> CO_GT[0.1-3.2], PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0]",Not supported
96,"C6H6_GT[25.7-63.7] --> NO2_GT[267.0-340.0], PT08_S4_NO2[1731.0-2775.0]",Not supported
97,"NMHC_GT[7.0-193.0] --> CO_GT[0.1-3.2], PT08_S2_NMHC[383.0-644.0]",Not supported
98,"CO_GT[0.1-3.2], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Confident
99,NOx_GT[517.0-1479.0] --> CO_GT[0.1-3.2],Not supported
100,CO_GT[0.1-3.2] --> NO2_GT[2.0-32.0],Not supported
101,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[1881.0-2040.0]",Not supported
102,PT08_S1_CO[1881.0-2040.0] --> NO2_GT[267.0-340.0],Not supported
103,"NMHC_GT[7.0-193.0], PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[0.1-15.1], NOx_GT[2.0-416.0]",Not supported
104,"PT08_S2_NMHC[383.0-644.0] --> CO_GT[0.1-3.2], NMHC_GT[306.0-1189.0]",Not supported
105,"PT08_S4_NO2[551.0-1285.0] --> CO_GT[0.1-3.2], NMHC_GT[306.0-1189.0]",Not supported
106,"PT08_S1_CO[1881.0-2040.0], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
107,"NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[0.1-15.1]",Not supported
108,"PT08_S2_NMHC[383.0-644.0] --> CO_GT[0.1-3.2], PT08_S4_NO2[551.0-1285.0]",Not confident
109,PT08_S4_NO2[1731.0-2775.0] --> CO_GT[6.5-11.9],Not supported
110,"CO_GT[0.1-3.2], NMHC_GT[306.0-1189.0] --> NOx_GT[2.0-416.0]",Not supported
111,"C6H6_GT[25.7-63.7] --> CO_GT[6.5-11.9], PT08_S1_CO[1881.0-2040.0]",Not supported
112,PT08_S2_NMHC[383.0-644.0] --> NMHC_GT[7.0-193.0],Not supported
113,"CO_GT[6.5-11.9], NOx_GT[517.0-1479.0] --> PT08_S3_NOx[1420.0-2683.0]",Not supported
114,CO_GT[6.5-11.9] --> PT08_S2_NMHC[383.0-644.0],Not supported
115,"PT08_S1_CO[647.0-1223.0], PT08_S3_NOx[1420.0-2683.0] --> CO_GT[6.5-11.9], NMHC_GT[306.0-1189.0]",Not supported
116,"PT08_S4_NO2[551.0-1285.0] --> NMHC_GT[306.0-1189.0], C6H6_GT[0.1-15.1], PT08_S3_NOx[1420.0-2683.0]",Not supported
117,"PT08_S3_NOx[1420.0-2683.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[0.1-3.2]",Not supported
118,NOx_GT[517.0-1479.0] --> PT08_S2_NMHC[383.0-644.0],Not supported
119,"PT08_S1_CO[647.0-698.0], NMHC_GT[7.0-193.0], NOx_GT[517.0-1479.0] --> C6H6_GT[0.1-15.1]",Not supported
120,"PT08_S3_NOx[1420.0-2683.0] --> CO_GT[0.1-3.2], PT08_S1_CO[1881.0-2040.0], C6H6_GT[0.1-15.1], NOx_GT[2.0-416.0]",Not supported
121,"PT08_S2_NMHC[1451.0-2214.0] --> PT08_S1_CO[1881.0-2040.0], PT08_S3_NOx[322.0-553.0]",Not supported
122,NMHC_GT[7.0-193.0] --> PT08_S4_NO2[551.0-1285.0],Not supported
123,"PT08_S1_CO[647.0-698.0] --> PT08_S2_NMHC[383.0-1156.0], NO2_GT[2.0-32.0]",Not supported
124,"CO_GT[0.1-3.2], PT08_S2_NMHC[383.0-644.0] --> C6H6_GT[25.7-63.7]",Not supported
125,"PT08_S3_NOx[1420.0-2683.0] --> CO_GT[0.1-3.2], NMHC_GT[306.0-1189.0], C6H6_GT[25.7-63.7]",Not supported
126,"PT08_S3_NOx[322.0-553.0] --> CO_GT[6.5-11.9], PT08_S1_CO[1881.0-2040.0]",Not supported
127,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0], C6H6_GT[25.7-63.7], PT08_S3_NOx[322.0-553.0]",Not supported
128,"C6H6_GT[0.1-15.1] --> CO_GT[6.5-11.9], NMHC_GT[306.0-1189.0]",Not supported
129,NO2_GT[2.0-160.0] --> PT08_S1_CO[1881.0-2040.0],Not supported
130,"PT08_S2_NMHC[1451.0-2214.0] --> CO_GT[6.5-11.9], PT08_S1_CO[1881.0-2040.0]",Not supported
131,"C6H6_GT[25.7-63.7], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-553.0]",Not supported
132,"PT08_S2_NMHC[1451.0-2214.0] --> CO_GT[0.1-3.2], PT08_S1_CO[1881.0-2040.0]",Not supported
133,"PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[0.1-3.2], PT08_S3_NOx[322.0-1065.0]",Not supported
134,CO_GT[0.1-3.2] --> PT08_S1_CO[1881.0-2040.0],Not supported
135,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-698.0], NMHC_GT[7.0-193.0] --> PT08_S3_NOx[1420.0-2683.0]",Not supported
136,"C6H6_GT[25.7-63.7] --> PT08_S2_NMHC[383.0-1156.0], NO2_GT[2.0-32.0]",Not supported
137,"NOx_GT[2.0-416.0], PT08_S4_NO2[551.0-1285.0] --> PT08_S2_NMHC[383.0-644.0]",Not confident
138,CO_GT[6.5-11.9] --> NOx_GT[2.0-416.0],Not supported
139,"NMHC_GT[7.0-193.0], PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[25.7-63.7], NOx_GT[2.0-416.0]",Not supported
140,"C6H6_GT[0.1-15.1], NOx_GT[2.0-416.0], NO2_GT[134.0-340.0], PT08_S4_NO2[551.0-1285.0] --> CO_GT[0.1-3.2]",Confident
141,NO2_GT[267.0-340.0] --> PT08_S4_NO2[1731.0-2775.0],Not supported
142,CO_GT[0.1-3.2] --> NOx_GT[2.0-416.0],Confident
143,"NO2_GT[2.0-32.0] --> CO_GT[6.5-11.9], NMHC_GT[306.0-1189.0]",Not supported
144,PT08_S2_NMHC[383.0-644.0] --> NOx_GT[2.0-416.0],Not confident
145,"PT08_S2_NMHC[383.0-644.0], PT08_S3_NOx[1420.0-2683.0] --> NOx_GT[2.0-416.0], NO2_GT[2.0-160.0]",Not supported
146,NOx_GT[517.0-1479.0] --> PT08_S3_NOx[1420.0-2683.0],Not supported
147,PT08_S1_CO[647.0-698.0] --> NO2_GT[267.0-340.0],Not supported
148,"NMHC_GT[7.0-193.0], PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[0.1-15.1]",Not supported
149,"NMHC_GT[306.0-1189.0], PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported
150,"CO_GT[0.1-3.2] --> NMHC_GT[306.0-1189.0], C6H6_GT[0.1-15.1]",Not supported
151,"PT08_S2_NMHC[383.0-644.0], NOx_GT[2.0-416.0] --> PT08_S3_NOx[1420.0-2683.0]",Not supported
152,"NMHC_GT[7.0-193.0], NOx_GT[2.0-416.0] --> C6H6_GT[0.1-15.1]",Confident
153,"PT08_S1_CO[647.0-698.0] --> CO_GT[0.1-3.2], PT08_S4_NO2[551.0-1285.0]",Not supported
154,"PT08_S4_NO2[551.0-1285.0] --> NMHC_GT[306.0-1189.0], C6H6_GT[0.1-15.1]",Not supported
155,"PT08_S1_CO[1881.0-2040.0], PT08_S4_NO2[1731.0-2775.0] --> C6H6_GT[0.1-15.1]",Not supported
156,"NMHC_GT[7.0-193.0] --> CO_GT[0.1-3.2], PT08_S1_CO[647.0-698.0], C6H6_GT[0.1-15.1], PT08_S2_NMHC[383.0-1156.0]",Not supported
157,"PT08_S2_NMHC[383.0-644.0], PT08_S3_NOx[322.0-553.0] --> NOx_GT[2.0-416.0]",Not supported
