,idRule_G,idRule_g,Rule_G,state_G,Rule_g,state_g
0,0,22,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-32.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
1,21,22,"PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-1156.0], NO2_GT[2.0-32.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
2,27,22,"PT08_S1_CO[647.0-967.0] --> PT08_S2_NMHC[383.0-900.0], NO2_GT[2.0-160.0]",Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
3,29,22,PT08_S1_CO[647.0-775.0] --> NO2_GT[2.0-160.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
4,36,22,"PT08_S1_CO[647.0-897.0] --> PT08_S2_NMHC[383.0-644.0], NO2_GT[2.0-160.0]",Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
5,41,22,"PT08_S1_CO[647.0-777.0] --> CO_GT[0.1-4.8], NO2_GT[2.0-160.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
6,48,22,"PT08_S1_CO[647.0-1479.0] --> PT08_S2_NMHC[383.0-1156.0], NO2_GT[2.0-32.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
7,51,22,PT08_S1_CO[647.0-967.0] --> NO2_GT[2.0-32.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
8,100,22,"PT08_S1_CO[647.0-855.0] --> PT08_S2_NMHC[383.0-772.0], NO2_GT[2.0-64.0]",Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
9,101,22,"PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-644.0], NO2_GT[2.0-96.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
10,147,22,PT08_S1_CO[647.0-839.0] --> NO2_GT[2.0-96.0],Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
11,264,22,"PT08_S1_CO[647.0-815.0] --> PT08_S2_NMHC[383.0-1092.0], NO2_GT[2.0-160.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
12,394,22,"PT08_S1_CO[647.0-791.0] --> PT08_S2_NMHC[383.0-1316.0], NO2_GT[2.0-160.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
13,1024,22,PT08_S1_CO[647.0-783.0] --> NO2_GT[2.0-96.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
14,1041,22,PT08_S1_CO[647.0-807.0] --> NO2_GT[2.0-160.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
15,1146,22,PT08_S1_CO[647.0-811.0] --> NO2_GT[2.0-109.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
16,0,52,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-32.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
17,21,52,"PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-1156.0], NO2_GT[2.0-32.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
18,22,52,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
19,27,52,"PT08_S1_CO[647.0-967.0] --> PT08_S2_NMHC[383.0-900.0], NO2_GT[2.0-160.0]",Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
20,29,52,PT08_S1_CO[647.0-775.0] --> NO2_GT[2.0-160.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
21,36,52,"PT08_S1_CO[647.0-897.0] --> PT08_S2_NMHC[383.0-644.0], NO2_GT[2.0-160.0]",Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
22,39,52,"PT08_S1_CO[647.0-967.0] --> PT08_S2_NMHC[383.0-900.0], NO2_GT[2.0-192.0]",Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
23,41,52,"PT08_S1_CO[647.0-777.0] --> CO_GT[0.1-4.8], NO2_GT[2.0-160.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
24,48,52,"PT08_S1_CO[647.0-1479.0] --> PT08_S2_NMHC[383.0-1156.0], NO2_GT[2.0-32.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
25,51,52,PT08_S1_CO[647.0-967.0] --> NO2_GT[2.0-32.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
26,100,52,"PT08_S1_CO[647.0-855.0] --> PT08_S2_NMHC[383.0-772.0], NO2_GT[2.0-64.0]",Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
27,101,52,"PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-644.0], NO2_GT[2.0-96.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
28,147,52,PT08_S1_CO[647.0-839.0] --> NO2_GT[2.0-96.0],Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
29,264,52,"PT08_S1_CO[647.0-815.0] --> PT08_S2_NMHC[383.0-1092.0], NO2_GT[2.0-160.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
30,282,52,"PT08_S1_CO[647.0-927.0] --> PT08_S2_NMHC[383.0-900.0], NO2_GT[2.0-224.0]",Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
31,394,52,"PT08_S1_CO[647.0-791.0] --> PT08_S2_NMHC[383.0-1316.0], NO2_GT[2.0-160.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
32,438,52,PT08_S1_CO[647.0-755.0] --> NO2_GT[2.0-192.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
33,444,52,"PT08_S1_CO[647.0-831.0] --> PT08_S2_NMHC[383.0-644.0], NO2_GT[2.0-220.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
34,448,52,"PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-1413.0], NO2_GT[2.0-224.0]",Not confident,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
35,1024,52,PT08_S1_CO[647.0-783.0] --> NO2_GT[2.0-96.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
36,1041,52,PT08_S1_CO[647.0-807.0] --> NO2_GT[2.0-160.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
37,1146,52,PT08_S1_CO[647.0-811.0] --> NO2_GT[2.0-109.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
38,1189,52,PT08_S1_CO[647.0-720.0] --> NO2_GT[2.0-224.0],Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
39,1252,52,"PT08_S1_CO[647.0-791.0] --> CO_GT[0.1-4.8], NO2_GT[2.0-192.0]",Not supported,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-224.0],Not supported
40,1,10,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0],Not confident
41,1,11,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported
42,12,11,PT08_S4_NO2[1991.0-2775.0] --> PT08_S1_CO[647.0-738.0],Not supported,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported
43,15,11,PT08_S4_NO2[1860.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported
44,24,11,"PT08_S4_NO2[1811.0-2775.0] --> PT08_S1_CO[647.0-705.0], PT08_S3_NOx[322.0-1329.0]",Not supported,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported
45,1,12,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,PT08_S4_NO2[1991.0-2775.0] --> PT08_S1_CO[647.0-738.0],Not supported
46,24,12,"PT08_S4_NO2[1811.0-2775.0] --> PT08_S1_CO[647.0-705.0], PT08_S3_NOx[322.0-1329.0]",Not supported,PT08_S4_NO2[1991.0-2775.0] --> PT08_S1_CO[647.0-738.0],Not supported
47,1,14,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0],Not confident
48,10,14,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0],Not confident,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0],Not confident
49,1,15,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,PT08_S4_NO2[1860.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported
50,24,15,"PT08_S4_NO2[1811.0-2775.0] --> PT08_S1_CO[647.0-705.0], PT08_S3_NOx[322.0-1329.0]",Not supported,PT08_S4_NO2[1860.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported
51,1,16,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-1207.0],Not supported
52,11,16,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-1207.0],Not supported
53,12,16,PT08_S4_NO2[1991.0-2775.0] --> PT08_S1_CO[647.0-738.0],Not supported,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-1207.0],Not supported
54,15,16,PT08_S4_NO2[1860.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-1207.0],Not supported
