,idRule_G,idRule_g,Rule_G,state_G,Rule_g,state_g
66,641,20,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1544.0],Confident,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1617.0],Confident
250,641,116,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1544.0],Confident,PT08_S4_NO2[1843.0-2775.0] --> PT08_S1_CO[647.0-1598.0],Confident
1409,112,40,PT08_S1_CO[647.0-1351.0] --> PT08_S2_NMHC[383.0-1156.0],Confident,PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-1156.0],Confident
1410,140,40,PT08_S1_CO[647.0-1415.0] --> PT08_S2_NMHC[383.0-1156.0],Confident,PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-1156.0],Confident
1411,181,40,PT08_S1_CO[647.0-1271.0] --> PT08_S2_NMHC[383.0-1028.0],Confident,PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-1156.0],Confident
1412,232,40,PT08_S1_CO[647.0-1479.0] --> PT08_S2_NMHC[383.0-1156.0],Confident,PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-1156.0],Confident
1415,1124,40,PT08_S1_CO[647.0-1617.0] --> PT08_S2_NMHC[383.0-1156.0],Confident,PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-1156.0],Confident
1489,292,189,PT08_S1_CO[647.0-967.0] --> PT08_S2_NMHC[383.0-900.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1490,300,189,PT08_S1_CO[647.0-903.0] --> PT08_S2_NMHC[383.0-836.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1493,396,189,PT08_S1_CO[647.0-968.0] --> PT08_S2_NMHC[383.0-932.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1496,574,189,PT08_S1_CO[647.0-905.0] --> PT08_S2_NMHC[383.0-892.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1498,644,189,PT08_S1_CO[647.0-1095.0] --> PT08_S2_NMHC[383.0-964.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1499,730,189,PT08_S1_CO[647.0-903.0] --> PT08_S2_NMHC[383.0-772.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1501,803,189,PT08_S1_CO[647.0-1159.0] --> PT08_S2_NMHC[383.0-964.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1502,877,189,PT08_S1_CO[647.0-911.0] --> PT08_S2_NMHC[383.0-884.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1503,944,189,PT08_S1_CO[647.0-881.0] --> PT08_S2_NMHC[383.0-756.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1505,1034,189,PT08_S1_CO[647.0-919.0] --> PT08_S2_NMHC[383.0-892.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1507,1084,189,PT08_S1_CO[647.0-1031.0] --> PT08_S2_NMHC[383.0-900.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1509,1253,189,PT08_S1_CO[647.0-1011.0] --> PT08_S2_NMHC[383.0-896.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1510,1265,189,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,PT08_S1_CO[647.0-839.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1562,292,289,PT08_S1_CO[647.0-967.0] --> PT08_S2_NMHC[383.0-900.0],Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1566,396,289,PT08_S1_CO[647.0-968.0] --> PT08_S2_NMHC[383.0-932.0],Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1569,564,289,"CO_GT[0.1-6.4], PT08_S1_CO[647.0-1159.0], NOx_GT[2.0-320.0] --> PT08_S2_NMHC[383.0-964.0]",Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1571,644,289,PT08_S1_CO[647.0-1095.0] --> PT08_S2_NMHC[383.0-964.0],Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1576,803,289,PT08_S1_CO[647.0-1159.0] --> PT08_S2_NMHC[383.0-964.0],Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1577,907,289,"CO_GT[0.1-6.4], PT08_S1_CO[647.0-1095.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-900.0]",Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1582,1084,289,PT08_S1_CO[647.0-1031.0] --> PT08_S2_NMHC[383.0-900.0],Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1584,1183,289,"CO_GT[0.1-3.5], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-513.0] --> PT08_S2_NMHC[383.0-836.0]",Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1585,1253,289,PT08_S1_CO[647.0-1011.0] --> PT08_S2_NMHC[383.0-896.0],Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1586,1265,289,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-224.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1596,1084,292,PT08_S1_CO[647.0-1031.0] --> PT08_S2_NMHC[383.0-900.0],Confident,PT08_S1_CO[647.0-967.0] --> PT08_S2_NMHC[383.0-900.0],Confident
1597,1253,292,PT08_S1_CO[647.0-1011.0] --> PT08_S2_NMHC[383.0-896.0],Confident,PT08_S1_CO[647.0-967.0] --> PT08_S2_NMHC[383.0-900.0],Confident
1598,1265,292,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,PT08_S1_CO[647.0-967.0] --> PT08_S2_NMHC[383.0-900.0],Confident
1602,730,300,PT08_S1_CO[647.0-903.0] --> PT08_S2_NMHC[383.0-772.0],Confident,PT08_S1_CO[647.0-903.0] --> PT08_S2_NMHC[383.0-836.0],Confident
1605,1265,300,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,PT08_S1_CO[647.0-903.0] --> PT08_S2_NMHC[383.0-836.0],Confident
1621,1084,396,PT08_S1_CO[647.0-1031.0] --> PT08_S2_NMHC[383.0-900.0],Confident,PT08_S1_CO[647.0-968.0] --> PT08_S2_NMHC[383.0-932.0],Confident
1622,1253,396,PT08_S1_CO[647.0-1011.0] --> PT08_S2_NMHC[383.0-896.0],Confident,PT08_S1_CO[647.0-968.0] --> PT08_S2_NMHC[383.0-932.0],Confident
1623,1265,396,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,PT08_S1_CO[647.0-968.0] --> PT08_S2_NMHC[383.0-932.0],Confident
1664,644,408,PT08_S1_CO[647.0-1095.0] --> PT08_S2_NMHC[383.0-964.0],Confident,PT08_S1_CO[647.0-983.0] --> PT08_S2_NMHC[383.0-1020.0],Confident
1666,786,408,PT08_S1_CO[647.0-1127.0] --> PT08_S2_NMHC[383.0-972.0],Confident,PT08_S1_CO[647.0-983.0] --> PT08_S2_NMHC[383.0-1020.0],Confident
1667,803,408,PT08_S1_CO[647.0-1159.0] --> PT08_S2_NMHC[383.0-964.0],Confident,PT08_S1_CO[647.0-983.0] --> PT08_S2_NMHC[383.0-1020.0],Confident
1670,1084,408,PT08_S1_CO[647.0-1031.0] --> PT08_S2_NMHC[383.0-900.0],Confident,PT08_S1_CO[647.0-983.0] --> PT08_S2_NMHC[383.0-1020.0],Confident
1672,1253,408,PT08_S1_CO[647.0-1011.0] --> PT08_S2_NMHC[383.0-896.0],Confident,PT08_S1_CO[647.0-983.0] --> PT08_S2_NMHC[383.0-1020.0],Confident
1673,1265,408,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,PT08_S1_CO[647.0-983.0] --> PT08_S2_NMHC[383.0-1020.0],Confident
1684,803,564,PT08_S1_CO[647.0-1159.0] --> PT08_S2_NMHC[383.0-964.0],Confident,"CO_GT[0.1-6.4], PT08_S1_CO[647.0-1159.0], NOx_GT[2.0-320.0] --> PT08_S2_NMHC[383.0-964.0]",Confident
1695,877,574,PT08_S1_CO[647.0-911.0] --> PT08_S2_NMHC[383.0-884.0],Confident,PT08_S1_CO[647.0-905.0] --> PT08_S2_NMHC[383.0-892.0],Confident
1696,1034,574,PT08_S1_CO[647.0-919.0] --> PT08_S2_NMHC[383.0-892.0],Confident,PT08_S1_CO[647.0-905.0] --> PT08_S2_NMHC[383.0-892.0],Confident
1698,1265,574,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,PT08_S1_CO[647.0-905.0] --> PT08_S2_NMHC[383.0-892.0],Confident
1719,803,644,PT08_S1_CO[647.0-1159.0] --> PT08_S2_NMHC[383.0-964.0],Confident,PT08_S1_CO[647.0-1095.0] --> PT08_S2_NMHC[383.0-964.0],Confident
1740,803,786,PT08_S1_CO[647.0-1159.0] --> PT08_S2_NMHC[383.0-964.0],Confident,PT08_S1_CO[647.0-1127.0] --> PT08_S2_NMHC[383.0-972.0],Confident
1746,803,795,PT08_S1_CO[647.0-1159.0] --> PT08_S2_NMHC[383.0-964.0],Confident,"PT08_S1_CO[647.0-1127.0], PT08_S4_NO2[551.0-1285.0] --> PT08_S2_NMHC[383.0-968.0]",Confident
1772,1265,877,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,PT08_S1_CO[647.0-911.0] --> PT08_S2_NMHC[383.0-884.0],Confident
1805,1265,1034,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,PT08_S1_CO[647.0-919.0] --> PT08_S2_NMHC[383.0-892.0],Confident
1839,1265,1183,PT08_S1_CO[647.0-999.0] --> PT08_S2_NMHC[383.0-836.0],Confident,"CO_GT[0.1-3.5], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-513.0] --> PT08_S2_NMHC[383.0-836.0]",Confident
1929,562,54,"PT08_S1_CO[647.0-1223.0], C6H6_GT[0.1-5.5], NOx_GT[2.0-416.0] --> NO2_GT[2.0-192.0]",Confident,"PT08_S1_CO[647.0-1223.0], C6H6_GT[0.1-2.3], NOx_GT[2.0-416.0] --> NO2_GT[2.0-224.0]",Confident
1945,744,71,"PT08_S1_CO[647.0-967.0], NOx_GT[2.0-320.0] --> C6H6_GT[0.1-21.5], NO2_GT[2.0-160.0]",Confident,"PT08_S1_CO[647.0-967.0], C6H6_GT[0.1-18.3], NOx_GT[2.0-160.0] --> NO2_GT[2.0-224.0]",Confident
1946,916,71,"PT08_S1_CO[647.0-1031.0], NOx_GT[2.0-296.0] --> C6H6_GT[0.1-25.5], NO2_GT[2.0-160.0]",Confident,"PT08_S1_CO[647.0-967.0], C6H6_GT[0.1-18.3], NOx_GT[2.0-160.0] --> NO2_GT[2.0-224.0]",Confident
1965,153,115,PT08_S1_CO[647.0-1479.0] --> NO2_GT[2.0-256.0],Confident,PT08_S1_CO[647.0-1223.0] --> NO2_GT[2.0-256.0],Confident
1966,900,115,PT08_S1_CO[647.0-1479.0] --> NO2_GT[2.0-244.0],Confident,PT08_S1_CO[647.0-1223.0] --> NO2_GT[2.0-256.0],Confident
1967,956,115,PT08_S1_CO[647.0-1617.0] --> NO2_GT[2.0-249.0],Confident,PT08_S1_CO[647.0-1223.0] --> NO2_GT[2.0-256.0],Confident
1968,1077,115,PT08_S1_CO[647.0-1287.0] --> NO2_GT[2.0-242.0],Confident,PT08_S1_CO[647.0-1223.0] --> NO2_GT[2.0-256.0],Confident
2125,740,435,"PT08_S1_CO[647.0-967.0], C6H6_GT[0.1-2.3], NOx_GT[2.0-288.0] --> NO2_GT[2.0-96.0]",Confident,"PT08_S1_CO[647.0-935.0], C6H6_GT[0.1-2.3], NOx_GT[2.0-160.0] --> NO2_GT[2.0-96.0]",Confident
2241,865,756,"PT08_S1_CO[647.0-1223.0], C6H6_GT[0.1-8.7], NOx_GT[2.0-224.0] --> NO2_GT[2.0-224.0]",Confident,"PT08_S1_CO[647.0-1095.0], C6H6_GT[0.1-8.7], NOx_GT[2.0-144.0] --> NO2_GT[2.0-240.0]",Confident
2981,471,130,"NO2_GT[2.0-64.0] --> PT08_S1_CO[647.0-1015.0], NOx_GT[2.0-320.0]",Confident,"NO2_GT[2.0-64.0] --> PT08_S1_CO[647.0-1063.0], NOx_GT[2.0-336.0]",Confident
3031,385,275,"NO2_GT[2.0-64.0] --> PT08_S1_CO[647.0-1223.0], NOx_GT[2.0-112.0]",Confident,"NO2_GT[2.0-64.0] --> PT08_S1_CO[647.0-1223.0], NOx_GT[2.0-160.0]",Confident
3042,329,306,"NO2_GT[2.0-96.0] --> PT08_S1_CO[647.0-1223.0], NOx_GT[2.0-176.0]",Confident,"NO2_GT[2.0-96.0] --> PT08_S1_CO[647.0-1223.0], NOx_GT[2.0-416.0]",Confident
3055,1185,306,"NO2_GT[2.0-96.0] --> PT08_S1_CO[647.0-1159.0], NOx_GT[2.0-400.0]",Confident,"NO2_GT[2.0-96.0] --> PT08_S1_CO[647.0-1223.0], NOx_GT[2.0-416.0]",Confident
