,idRule_G,idRule_g
0,62,42
1,103,40
2,112,40
3,136,88
4,138,115
5,140,112
6,151,114
7,153,115
8,154,76
9,154,114
10,181,40
11,191,154
12,191,62
13,191,81
14,191,108
15,191,160
16,191,188
17,206,154
18,232,140
19,236,154
20,236,62
21,236,81
22,236,108
23,236,160
24,236,188
25,252,81
26,283,59
27,286,154
28,286,160
29,286,252
30,289,189
31,292,189
32,300,189
33,329,306
34,344,114
35,362,202
36,362,214
37,373,151
38,376,202
39,381,332
40,385,275
41,396,189
42,406,114
43,426,76
44,426,160
45,426,252
46,426,328
47,443,202
48,447,154
49,447,382
50,450,154
51,450,88
52,465,136
53,465,344
54,465,450
55,471,130
56,488,153
57,508,76
58,508,136
59,514,232
60,514,379
61,514,103
62,514,229
63,527,252
64,527,328
65,528,450
66,528,206
67,533,76
68,533,160
69,533,252
70,558,252
71,558,423
72,558,474
73,562,115
74,562,54
75,564,408
76,564,289
77,566,151
78,566,465
79,566,508
80,566,548
81,566,188
82,566,363
83,569,548
84,574,189
85,588,112
86,589,188
87,589,206
88,589,376
89,589,447
90,600,286
91,600,426
92,600,533
93,600,191
94,600,236
95,600,527
96,603,59
97,603,373
98,612,588
99,618,252
100,618,423
101,632,230
102,640,136
103,641,20
104,641,116
105,644,189
106,644,408
107,646,214
108,646,206
109,646,376
110,646,447
111,660,659
112,669,160
113,669,328
114,673,632
115,680,283
116,680,332
117,680,418
118,680,603
119,684,417
120,730,300
121,738,114
122,739,42
123,739,76
124,739,88
125,739,81
126,739,108
127,739,423
128,739,474
129,740,435
130,759,76
131,759,744
132,759,328
133,759,558
134,779,75
135,786,408
136,794,76
137,794,81
138,794,423
139,794,474
140,795,786
141,803,644
142,803,786
143,814,40
144,814,803
145,836,744
146,836,569
147,836,640
148,836,81
149,836,423
150,836,474
151,836,659
152,836,566
153,836,406
154,836,528
155,836,589
156,836,738
157,840,744
158,840,62
159,840,108
160,840,188
161,840,202
162,840,447
163,841,744
164,841,81
165,841,423
166,841,474
167,841,447
168,858,42
169,865,115
170,865,756
171,873,153
172,877,574
173,883,699
174,898,88
175,898,81
176,898,423
177,900,153
178,901,181
179,901,588
180,907,292
181,907,396
182,907,644
183,907,889
184,907,289
185,928,136
186,928,81
187,928,423
188,937,612
189,941,889
190,941,916
191,941,332
192,941,418
193,941,548
194,944,189
195,950,744
196,950,916
197,950,108
198,950,188
199,950,252
200,950,669
201,956,153
202,969,916
203,969,841
204,983,230
205,983,695
206,992,232
207,992,379
208,992,103
209,992,229
210,1002,252
211,1002,328
212,1005,42
213,1005,88
214,1005,328
215,1005,618
216,1005,629
217,1007,744
218,1007,916
219,1007,328
220,1007,699
221,1010,40
222,1034,574
223,1046,252
224,1046,423
225,1046,474
226,1077,115
227,1084,292
228,1084,396
229,1084,408
230,1089,423
231,1089,527
232,1101,328
233,1101,699
234,1124,232
235,1124,379
236,1134,744
237,1134,916
238,1134,382
239,1135,42
240,1135,88
241,1135,328
242,1135,1115
243,1135,618
244,1135,735
245,1143,803
246,1143,1084
247,1143,181
248,1143,232
249,1156,889
250,1156,916
251,1156,548
252,1174,286
253,1174,426
254,1174,533
255,1174,669
256,1174,1115
257,1174,191
258,1174,527
259,1174,883
260,1174,1002
261,1174,1007
262,1174,1101
263,1174,1105
264,1178,974
265,1178,1006
266,1178,417
267,1183,292
268,1183,300
269,1183,877
270,1183,1034
271,1183,889
272,1183,289
273,1185,306
274,1185,1167
275,1196,744
276,1196,916
277,1196,160
278,1196,252
279,1196,328
280,1196,1115
281,1202,1179
282,1202,286
283,1202,426
284,1202,533
285,1202,1196
286,1202,191
287,1202,236
288,1202,950
289,1202,1106
290,1211,744
291,1211,916
292,1211,108
293,1211,160
294,1211,188
295,1211,252
296,1211,1115
297,1211,202
298,1211,382
299,1224,1179
300,1224,286
301,1224,1115
302,1224,214
303,1224,749
304,1224,206
305,1224,447
306,1224,1134
307,1237,968
308,1246,916
309,1246,382
310,1247,42
311,1247,76
312,1247,744
313,1247,916
314,1247,1179
315,1247,108
316,1247,160
317,1247,328
318,1247,1115
319,1247,558
320,1251,1179
321,1251,332
322,1251,503
323,1251,640
324,1251,1040
325,1251,1115
326,1251,618
327,1251,660
328,1251,898
329,1251,928
330,1251,735
331,1251,1089
332,1253,292
333,1253,396
334,1253,408
335,1265,292
336,1265,300
337,1265,396
338,1265,408
339,1265,877
340,1265,1034
341,1282,1156
