idRule,Rule,state
0,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-32.0],Not supported
1,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported
2,PT08_S4_NO2[1731.0-2775.0] --> PT08_S2_NMHC[1451.0-2214.0],Not supported
3,PT08_S1_CO[647.0-698.0] --> PT08_S2_NMHC[383.0-644.0],Not supported
4,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-698.0], NOx_GT[2.0-416.0] --> NMHC_GT[7.0-193.0]",Not supported
5,"PT08_S1_CO[647.0-698.0], NOx_GT[2.0-416.0] --> C6H6_GT[0.1-15.1]",Not supported
6,PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-644.0],Not confident
7,"PT08_S3_NOx[2683.0-2683.0] --> PT08_S1_CO[647.0-827.0], NOx_GT[2.0-478.0]",Not supported
8,C6H6_GT[0.1-15.1] --> CO_GT[0.1-3.2],Not confident
9,"PT08_S1_CO[647.0-698.0], NOx_GT[2.0-160.0] --> C6H6_GT[0.1-21.5]",Not supported
10,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0],Not confident
11,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported
12,PT08_S4_NO2[1991.0-2775.0] --> PT08_S1_CO[647.0-738.0],Not supported
13,"CO_GT[0.1-3.2], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-416.0] --> NMHC_GT[7.0-193.0]",Not supported
14,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1479.0],Not confident
15,PT08_S4_NO2[1860.0-2775.0] --> PT08_S1_CO[647.0-967.0],Not supported
16,PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-1207.0],Not supported
17,PT08_S4_NO2[1860.0-2775.0] --> PT08_S1_CO[647.0-1319.0],Not supported
18,NMHC_GT[658.0-1189.0] --> NOx_GT[2.0-416.0],Not supported
19,"CO_GT[6.5-11.9], PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
20,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1617.0],Confident
21,"PT08_S1_CO[647.0-1223.0] --> PT08_S2_NMHC[383.0-1156.0], NO2_GT[2.0-32.0]",Not supported
22,PT08_S1_CO[647.0-698.0] --> NO2_GT[2.0-160.0],Not supported
23,"PT08_S2_NMHC[383.0-644.0] --> CO_GT[0.1-3.2], NOx_GT[517.0-1479.0]",Not supported
24,"PT08_S4_NO2[1811.0-2775.0] --> PT08_S1_CO[647.0-705.0], PT08_S3_NOx[322.0-1329.0]",Not supported
25,"CO_GT[0.1-6.4], PT08_S1_CO[647.0-698.0], NOx_GT[2.0-416.0] --> NMHC_GT[7.0-156.0]",Not supported
26,PT08_S4_NO2[1860.0-2775.0] --> PT08_S1_CO[647.0-1479.0],Not confident
27,"PT08_S1_CO[647.0-967.0] --> PT08_S2_NMHC[383.0-900.0], NO2_GT[2.0-160.0]",Not confident
28,"CO_GT[0.1-6.4], PT08_S1_CO[647.0-967.0], NOx_GT[2.0-416.0] --> NMHC_GT[7.0-193.0]",Not supported
29,PT08_S1_CO[647.0-775.0] --> NO2_GT[2.0-160.0],Not supported
30,NMHC_GT[306.0-1189.0] --> NOx_GT[2.0-416.0],Not supported
31,"C6H6_GT[0.1-2.3], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[6.5-11.9]",Not supported
