idRule,Rule,state
0,"NOx_GT[582.0-985.0], PT08_S3_NOx[1480.0-1502.0], PT08_S4_NO2[2457.0-2525.0] --> CO_GT[5.4-6.4], PT08_S1_CO[1882.0-1884.0], NMHC_GT[68.0-137.0], C6H6_GT[3.7-21.6], PT08_S2_NMHC[1536.0-1664.0], NO2_GT[270.0-340.0]",Not supported
1,"CO_GT[4.2-6.3], C6H6_GT[33.5-36.3], NOx_GT[704.0-715.0], PT08_S3_NOx[2331.0-2331.0], NO2_GT[79.0-214.0], PT08_S4_NO2[1754.0-1780.0] --> PT08_S1_CO[740.0-1040.0], NMHC_GT[33.0-56.0], PT08_S2_NMHC[1538.0-1610.0]",Not supported
2,"CO_GT[4.3-6.5], PT08_S1_CO[722.0-1374.0], PT08_S2_NMHC[1527.0-1582.0], NOx_GT[761.0-1155.0], PT08_S4_NO2[2064.0-2746.0] --> NMHC_GT[112.0-127.0], C6H6_GT[50.8-50.8], PT08_S3_NOx[1496.0-1522.0], NO2_GT[21.0-123.0]",Not supported
3,"CO_GT[0.4-0.4], NMHC_GT[134.0-159.0], C6H6_GT[8.2-8.2], PT08_S2_NMHC[940.0-1604.0] --> PT08_S1_CO[1975.0-2008.0], NOx_GT[686.0-726.0], PT08_S3_NOx[1040.0-1123.0], NO2_GT[5.0-47.0], PT08_S4_NO2[883.0-887.0]",Not supported
4,"CO_GT[9.1-9.1], NMHC_GT[16.0-101.0], C6H6_GT[3.2-15.6], PT08_S3_NOx[1468.0-1535.0], NO2_GT[225.0-282.0], PT08_S4_NO2[2679.0-2775.0] --> PT08_S1_CO[1915.0-1915.0], PT08_S2_NMHC[1518.0-1866.0], NOx_GT[1065.0-1389.0]",Not supported
5,"CO_GT[3.7-5.8], PT08_S1_CO[2040.0-2040.0], C6H6_GT[3.5-19.0], PT08_S4_NO2[1752.0-1888.0] --> NMHC_GT[336.0-391.0], PT08_S2_NMHC[941.0-1599.0], NOx_GT[274.0-366.0], PT08_S3_NOx[1241.0-1241.0], NO2_GT[215.0-221.0]",Not supported
6,"CO_GT[1.7-2.3], NO2_GT[276.0-276.0], PT08_S4_NO2[1870.0-2108.0] --> PT08_S1_CO[735.0-980.0], NMHC_GT[267.0-267.0], C6H6_GT[37.7-38.1], PT08_S2_NMHC[1200.0-1404.0], NOx_GT[1189.0-1195.0], PT08_S3_NOx[1795.0-1803.0]",Not supported
7,"PT08_S1_CO[947.0-2008.0], NMHC_GT[426.0-1084.0], C6H6_GT[27.9-63.7], NOx_GT[303.0-1479.0], PT08_S3_NOx[2327.0-2327.0] --> CO_GT[5.5-5.6], PT08_S2_NMHC[1805.0-1866.0], NO2_GT[104.0-104.0], PT08_S4_NO2[1383.0-1642.0]",Not supported
8,"PT08_S2_NMHC[1795.0-2007.0], PT08_S3_NOx[1575.0-1938.0], PT08_S4_NO2[2775.0-2775.0] --> CO_GT[7.4-7.4], PT08_S1_CO[649.0-1453.0], NMHC_GT[456.0-1189.0], C6H6_GT[8.7-10.7], NOx_GT[247.0-251.0], NO2_GT[3.0-27.0]",Not supported
9,"PT08_S1_CO[1881.0-2040.0], NMHC_GT[189.0-189.0], PT08_S2_NMHC[495.0-724.0], PT08_S3_NOx[1288.0-1318.0], NO2_GT[267.0-267.0] --> CO_GT[2.6-3.3], C6H6_GT[45.2-45.9], NOx_GT[374.0-468.0], PT08_S4_NO2[698.0-751.0]",Not supported
10,"PT08_S1_CO[2040.0-2040.0], NMHC_GT[113.0-119.0], PT08_S3_NOx[866.0-1153.0], NO2_GT[282.0-291.0] --> CO_GT[3.8-4.3], C6H6_GT[38.0-38.8], PT08_S2_NMHC[1890.0-1920.0], NOx_GT[124.0-124.0], PT08_S4_NO2[1559.0-1666.0]",Not supported
11,"CO_GT[9.1-9.1], NOx_GT[859.0-1155.0], PT08_S3_NOx[688.0-2559.0], PT08_S4_NO2[2450.0-2775.0] --> PT08_S1_CO[1956.0-2040.0], NMHC_GT[457.0-478.0], C6H6_GT[43.9-45.2], PT08_S2_NMHC[1686.0-1713.0], NO2_GT[221.0-242.0]",Not supported
12,"PT08_S1_CO[1898.0-2040.0], C6H6_GT[8.9-8.9], PT08_S3_NOx[967.0-1121.0], NO2_GT[81.0-98.0] --> CO_GT[0.8-3.1], NMHC_GT[609.0-660.0], PT08_S2_NMHC[1386.0-2214.0], NOx_GT[585.0-847.0], PT08_S4_NO2[941.0-1593.0]",Not supported
13,"CO_GT[5.8-6.1], C6H6_GT[10.6-10.8], PT08_S2_NMHC[1183.0-1225.0], NOx_GT[97.0-470.0], PT08_S3_NOx[1341.0-1653.0], PT08_S4_NO2[1826.0-1826.0] --> PT08_S1_CO[1144.0-1362.0], NMHC_GT[974.0-1189.0], NO2_GT[275.0-296.0]",Not supported
14,"PT08_S1_CO[1193.0-1573.0], PT08_S2_NMHC[1458.0-1482.0], PT08_S3_NOx[728.0-1253.0] --> CO_GT[7.1-9.1], NMHC_GT[872.0-926.0], C6H6_GT[5.1-5.6], NOx_GT[691.0-841.0], NO2_GT[133.0-191.0], PT08_S4_NO2[1296.0-1695.0]",Not supported
15,"CO_GT[5.7-6.1], C6H6_GT[6.9-7.3], PT08_S2_NMHC[846.0-853.0], PT08_S3_NOx[899.0-1201.0], NO2_GT[301.0-322.0], PT08_S4_NO2[2049.0-2545.0] --> PT08_S1_CO[830.0-972.0], NMHC_GT[70.0-98.0], NOx_GT[712.0-712.0]",Not supported
16,"CO_GT[7.7-9.5], PT08_S1_CO[2008.0-2008.0], C6H6_GT[13.2-24.4], PT08_S3_NOx[643.0-771.0] --> NMHC_GT[226.0-759.0], PT08_S2_NMHC[1511.0-1520.0], NOx_GT[1479.0-1479.0], NO2_GT[26.0-119.0], PT08_S4_NO2[1367.0-1424.0]",Not supported
17,"CO_GT[2.4-2.5], NMHC_GT[165.0-176.0], PT08_S2_NMHC[1095.0-1243.0], NO2_GT[274.0-276.0], PT08_S4_NO2[2691.0-2691.0] --> PT08_S1_CO[792.0-1232.0], C6H6_GT[49.4-52.1], NOx_GT[665.0-1195.0], PT08_S3_NOx[351.0-456.0]",Not supported
