idRule,Rule,state
0,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident
1,NOx_GT[2.0-416.0] --> NO2_GT[2.0-32.0],Not supported
2,PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-698.0],Not supported
3,"PT08_S2_NMHC[383.0-1156.0], NOx_GT[517.0-1479.0], PT08_S4_NO2[2397.0-2775.0] --> PT08_S1_CO[647.0-1223.0], NMHC_GT[7.0-193.0], C6H6_GT[0.1-15.1], NO2_GT[267.0-340.0]",Not supported
4,"NO2_GT[267.0-340.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
5,"CO_GT[0.1-3.2], NOx_GT[2.0-416.0] --> PT08_S1_CO[647.0-698.0]",Not supported
6,PT08_S1_CO[647.0-698.0] --> NMHC_GT[7.0-193.0],Not supported
7,"C6H6_GT[0.1-15.1] --> PT08_S3_NOx[322.0-553.0], PT08_S4_NO2[551.0-1285.0]",Not supported
8,"NO2_GT[267.0-340.0] --> NOx_GT[2.0-416.0], PT08_S3_NOx[322.0-553.0], PT08_S4_NO2[551.0-1285.0]",Not supported
9,PT08_S4_NO2[1219.0-2775.0] --> PT08_S1_CO[1881.0-2040.0],Not supported
10,"CO_GT[6.5-11.9], PT08_S4_NO2[1731.0-2775.0] --> PT08_S1_CO[647.0-1223.0], NMHC_GT[306.0-1189.0], NOx_GT[2.0-416.0], PT08_S3_NOx[1420.0-2683.0]",Not supported
11,PT08_S1_CO[647.0-698.0] --> NO2_GT[267.0-340.0],Not supported
12,"PT08_S1_CO[647.0-698.0], PT08_S2_NMHC[1451.0-2214.0], NOx_GT[517.0-1479.0] --> CO_GT[0.1-3.2]",Not supported
13,PT08_S1_CO[647.0-1223.0] --> NO2_GT[267.0-340.0],Not supported
14,"PT08_S1_CO[647.0-698.0], PT08_S3_NOx[1420.0-2683.0] --> PT08_S2_NMHC[383.0-644.0]",Not supported
15,"PT08_S1_CO[647.0-1223.0], NMHC_GT[306.0-1189.0], PT08_S2_NMHC[1451.0-2214.0], NOx_GT[2.0-416.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[0.1-3.2]",Not supported
16,"NOx_GT[2.0-416.0] --> PT08_S1_CO[1881.0-2040.0], NO2_GT[2.0-160.0]",Not supported
17,"PT08_S2_NMHC[383.0-644.0], PT08_S4_NO2[1731.0-2775.0] --> CO_GT[0.1-3.2]",Not supported
18,"NO2_GT[2.0-32.0], PT08_S4_NO2[1731.0-2775.0] --> NMHC_GT[306.0-1189.0]",Not supported
19,"CO_GT[0.1-6.4], NOx_GT[2.0-416.0] --> PT08_S1_CO[647.0-698.0]",Not supported
20,C6H6_GT[0.1-15.1] --> CO_GT[6.5-11.9],Not supported
