,idRule_G,idRule_g,Rule_G,state_G,Rule_g,state_g
0,52,0,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident,PT08_S4_NO2[2397.0-2775.0] --> NOx_GT[2.0-416.0],Not supported
1,170,0,"C6H6_GT[30.6-63.7], NO2_GT[295.0-340.0], PT08_S4_NO2[1219.0-2775.0] --> NOx_GT[2.0-208.0]",Not supported,PT08_S4_NO2[2397.0-2775.0] --> NOx_GT[2.0-416.0],Not supported
2,455,0,"C6H6_GT[25.7-63.7], PT08_S3_NOx[322.0-1329.0], PT08_S4_NO2[1347.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported,PT08_S4_NO2[2397.0-2775.0] --> NOx_GT[2.0-416.0],Not supported
3,52,130,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident,PT08_S4_NO2[2141.0-2775.0] --> NOx_GT[2.0-449.0],Not supported
4,170,130,"C6H6_GT[30.6-63.7], NO2_GT[295.0-340.0], PT08_S4_NO2[1219.0-2775.0] --> NOx_GT[2.0-208.0]",Not supported,PT08_S4_NO2[2141.0-2775.0] --> NOx_GT[2.0-449.0],Not supported
5,455,130,"C6H6_GT[25.7-63.7], PT08_S3_NOx[322.0-1329.0], PT08_S4_NO2[1347.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported,PT08_S4_NO2[2141.0-2775.0] --> NOx_GT[2.0-449.0],Not supported
6,52,192,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident,PT08_S4_NO2[1991.0-2775.0] --> NOx_GT[2.0-481.0],Not supported
7,170,192,"C6H6_GT[30.6-63.7], NO2_GT[295.0-340.0], PT08_S4_NO2[1219.0-2775.0] --> NOx_GT[2.0-208.0]",Not supported,PT08_S4_NO2[1991.0-2775.0] --> NOx_GT[2.0-481.0],Not supported
8,455,192,"C6H6_GT[25.7-63.7], PT08_S3_NOx[322.0-1329.0], PT08_S4_NO2[1347.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported,PT08_S4_NO2[1991.0-2775.0] --> NOx_GT[2.0-481.0],Not supported
9,52,264,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident,PT08_S4_NO2[1991.0-2775.0] --> NOx_GT[2.0-513.0],Not supported
10,170,264,"C6H6_GT[30.6-63.7], NO2_GT[295.0-340.0], PT08_S4_NO2[1219.0-2775.0] --> NOx_GT[2.0-208.0]",Not supported,PT08_S4_NO2[1991.0-2775.0] --> NOx_GT[2.0-513.0],Not supported
11,455,264,"C6H6_GT[25.7-63.7], PT08_S3_NOx[322.0-1329.0], PT08_S4_NO2[1347.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported,PT08_S4_NO2[1991.0-2775.0] --> NOx_GT[2.0-513.0],Not supported
12,192,264,PT08_S4_NO2[1991.0-2775.0] --> NOx_GT[2.0-481.0],Not supported,PT08_S4_NO2[1991.0-2775.0] --> NOx_GT[2.0-513.0],Not supported
13,170,52,"C6H6_GT[30.6-63.7], NO2_GT[295.0-340.0], PT08_S4_NO2[1219.0-2775.0] --> NOx_GT[2.0-208.0]",Not supported,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident
14,455,52,"C6H6_GT[25.7-63.7], PT08_S3_NOx[322.0-1329.0], PT08_S4_NO2[1347.0-2775.0] --> NOx_GT[2.0-416.0]",Not supported,PT08_S4_NO2[1731.0-2775.0] --> NOx_GT[2.0-416.0],Not confident
