,idRule_G,idRule_g,Rule_G,state_G,Rule_g,state_g
492,300,272,CO_GT[0.1-3.2] --> PT08_S4_NO2[551.0-1701.0],Confident,CO_GT[0.1-1.0] --> PT08_S4_NO2[551.0-1701.0],Confident
954,127,101,"CO_GT[0.1-6.4], NMHC_GT[7.0-210.0] --> PT08_S4_NO2[551.0-1669.0]",Confident,"CO_GT[0.1-6.4], NMHC_GT[7.0-193.0] --> PT08_S4_NO2[551.0-1669.0]",Confident
1030,366,335,"CO_GT[0.1-5.2], NOx_GT[517.0-1479.0] --> PT08_S4_NO2[551.0-2062.0]",Confident,"CO_GT[0.1-4.8], NOx_GT[517.0-1479.0] --> PT08_S4_NO2[551.0-2249.0]",Confident
1032,480,335,"CO_GT[0.1-6.4], NOx_GT[517.0-1479.0] --> PT08_S4_NO2[551.0-2062.0]",Confident,"CO_GT[0.1-4.8], NOx_GT[517.0-1479.0] --> PT08_S4_NO2[551.0-2249.0]",Confident
1048,480,366,"CO_GT[0.1-6.4], NOx_GT[517.0-1479.0] --> PT08_S4_NO2[551.0-2062.0]",Confident,"CO_GT[0.1-5.2], NOx_GT[517.0-1479.0] --> PT08_S4_NO2[551.0-2062.0]",Confident
1092,480,459,"CO_GT[0.1-6.4], NOx_GT[517.0-1479.0] --> PT08_S4_NO2[551.0-2062.0]",Confident,"CO_GT[0.1-5.9], NOx_GT[565.0-1479.0] --> PT08_S4_NO2[551.0-2062.0]",Confident
1201,396,288,"CO_GT[0.1-3.2], C6H6_GT[0.1-24.7] --> NOx_GT[2.0-481.0]",Confident,"CO_GT[0.1-2.4], C6H6_GT[0.1-18.3] --> NOx_GT[2.0-481.0]",Confident
1393,412,323,PT08_S2_NMHC[383.0-900.0] --> PT08_S4_NO2[551.0-1541.0],Confident,PT08_S2_NMHC[383.0-644.0] --> PT08_S4_NO2[551.0-1797.0],Confident
1394,492,323,PT08_S2_NMHC[383.0-900.0] --> PT08_S4_NO2[551.0-1669.0],Confident,PT08_S2_NMHC[383.0-644.0] --> PT08_S4_NO2[551.0-1797.0],Confident
1715,439,77,"PT08_S2_NMHC[383.0-1413.0], NO2_GT[2.0-224.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-1065.0]",Confident,"PT08_S2_NMHC[383.0-1348.0], NO2_GT[2.0-191.0], PT08_S4_NO2[1731.0-2775.0] --> PT08_S3_NOx[322.0-1329.0]",Confident
1780,401,217,NMHC_GT[7.0-274.0] --> NOx_GT[2.0-288.0],Confident,NMHC_GT[7.0-193.0] --> NOx_GT[2.0-416.0],Confident
1781,428,217,NMHC_GT[7.0-274.0] --> NOx_GT[2.0-416.0],Confident,NMHC_GT[7.0-193.0] --> NOx_GT[2.0-416.0],Confident
