idRule,count_Ant,sup_Antec,count_Cons,sup_Cons,count_Rule,sup_Rule,conf_Rule,state
0,74,0.00790936297563061,6404,0.6844805472424113,36,0.003847798204360838,0.4864864864864865,Not supported
1,1802,0.19260367678495083,542,0.0579307396323215,10,0.0010688328345446773,0.005549389567147614,Not supported
2,1802,0.19260367678495083,6671,0.7130183839247541,524,0.056006840530141086,0.290788013318535,Not confident
3,1802,0.19260367678495083,13,0.0013894826849080804,9,0.0009619495510902095,0.004994450610432853,Not supported
4,0,0.0,2770,0.29606669516887557,0,0.0,0.0,Not supported
5,868,0.09277469003847798,4393,0.4695382642154767,0,0.0,0.0,Not supported
6,0,0.0,1861,0.19890979050876442,0,0.0,0.0,Not supported
7,209,0.022338606241983753,6527,0.6976271911073109,0,0.0,0.0,Not supported
8,0,0.0,868,0.09277469003847798,0,0.0,0.0,Not supported
9,6984,0.7464728516460025,113,0.012077811030354853,0,0.0,0.0,Not supported
10,257,0.027469003847798205,1190,0.1271911073108166,226,0.024155622060709706,0.8793774319066148,Not supported
11,0,0.0,2633,0.2814236853356135,0,0.0,0.0,Not supported
12,0,0.0,48,0.005130397605814451,0,0.0,0.0,Not supported
13,7093,0.7581231295425396,1079,0.11532706284737067,123,0.01314664386489953,0.017341040462427744,Not supported
14,0,0.0,868,0.09277469003847798,0,0.0,0.0,Not supported
15,6179,0.660431808465156,2693,0.28783668234288157,2295,0.24529713552800342,0.3714193235151319,Not confident
16,0,0.0,2633,0.2814236853356135,0,0.0,0.0,Not supported
17,5,0.0005344164172723387,5403,0.5774903805044891,5,0.0005344164172723387,1.0,Not supported
18,0,0.0,159,0.016994442069260367,0,0.0,0.0,Not supported
19,7093,0.7581231295425396,6404,0.6844805472424113,5402,0.5773834972210347,0.7615959396588186,Not confident
20,0,0.0,868,0.09277469003847798,0,0.0,0.0,Not supported
21,0,0.0,7538,0.8056861906797776,0,0.0,0.0,Not supported
